_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_reg,int_cod_reg,int_desc_circ,int_cod_circ,int_desc_prov,int_cod_prov,int_desc_com,int_cod_com
145,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,FOLLO,130
146,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,FRAMURA,140
147,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,LA SPEZIA,150
148,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,LERICI,160
149,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,LEVANTO,170
150,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,MAISSANA,180
151,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,MONTEROSSO AL MARE,190
152,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,LUNI,200
153,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,PIGNONE,210
154,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,PORTOVENERE,220
155,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,RICCO' DEL GOLFO DI SPEZIA,230
156,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,RIOMAGGIORE,240
157,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,ROCCHETTA DI VARA,250
158,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,SANTO STEFANO DI MAGRA,260
159,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,SARZANA,270
160,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,SESTA GODANO,280
161,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,VARESE LIGURE,290
162,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,VERNAZZA,300
163,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,VEZZANO LIGURE,310
164,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,ZIGNAGO,320
